person_age,person_income,person_home_ownership,person_emp_length,loan_intent,loan_grade,loan_amnt,loan_int_rate,loan_status,loan_percent_income,cb_person_default_on_file,cb_person_cred_hist_length,ID
34,65200,2,13.0,1,1,8000,6.92,0,0.12,1,7,23675
37,85000,2,4.0,4,2,5500,12.69,0,0.06,1,11,31118
33,148000,2,17.0,1,3,8000,13.98,0,0.05,2,5,27414
31,47000,2,10.0,1,4,23000,14.84,1,0.49,1,9,22067
40,48000,3,1.0,1,2,6000,10.08,0,0.13,1,13,30078
21,31680,3,5.0,1,3,15000,12.61,1,0.47,2,2,17111
25,102000,2,4.0,4,2,25000,10.99,1,0.21,1,2,16638
29,88000,3,8.0,5,3,17600,14.26,0,0.2,2,6,18501
22,60000,3,0.0,2,2,3700,10.37,0,0.06,1,4,3621
25,102000,2,3.0,5,1,11200,7.91,0,0.11,1,4,14229
21,18996,3,0.0,5,1,6000,,1,0.32,1,4,6119
26,69000,2,10.0,5,4,6200,15.99,1,0.09,2,3,17608
21,36000,3,3.0,4,3,18500,10.91,1,0.51,1,2,16293
23,48000,3,6.0,2,1,7000,8.94,0,0.15,1,3,7912
38,117400,2,7.0,3,2,16000,10.75,0,0.14,1,16,31481
27,45760,1,6.0,4,2,14000,,0,0.31,1,6,21095
35,100000,3,3.0,3,1,12000,7.88,0,0.12,1,6,25530
22,37000,3,3.0,3,2,15000,10.25,1,0.41,1,4,17009
31,31500,3,2.0,4,2,4200,9.99,0,0.13,1,7,24125
22,50000,3,4.0,2,1,10000,9.32,0,0.2,1,3,17616
33,35000,3,2.0,5,3,10000,13.48,0,0.29,2,10,23896
24,75000,2,4.0,1,2,16000,12.42,0,0.21,1,2,11460
22,90000,2,6.0,2,2,6400,9.88,0,0.07,1,3,13327
24,22392,3,,4,2,4650,9.99,0,0.21,1,4,4315
22,53819,3,2.0,2,1,6000,7.42,0,0.11,1,3,6645
32,20000,3,3.0,1,2,4750,10.37,0,0.24,1,7,28116
23,24000,3,5.0,3,2,5000,10.75,0,0.21,1,3,9257
30,132000,3,14.0,4,2,21500,10.62,0,0.16,1,8,18177
24,118000,2,4.0,1,1,28000,7.9,0,0.24,1,4,14869
23,43500,3,2.0,3,3,10400,13.49,0,0.24,1,4,3538
34,60000,2,4.0,3,2,10000,9.88,0,0.17,1,8,23036
32,30000,3,5.0,2,3,14300,13.49,1,0.48,1,8,26285
22,24500,3,3.0,4,2,4800,10.65,0,0.2,1,2,4374
24,50400,3,8.0,5,1,1500,,0,0.03,1,4,1626
27,80000,3,3.0,5,2,4000,12.69,0,0.05,1,8,20175
22,30000,3,2.0,1,2,3600,10.99,0,0.12,1,4,16818
34,31000,2,0.0,2,3,4200,13.72,0,0.14,2,7,19109
27,23400,3,2.0,3,1,4000,7.49,0,0.17,1,6,19987
23,73000,3,1.0,3,3,14000,13.11,0,0.19,1,2,14034
22,78000,2,3.0,2,1,12000,6.54,0,0.15,1,3,11972
31,76000,2,5.0,3,3,5000,12.41,1,0.07,2,9,25522
22,72000,3,6.0,1,5,15000,17.19,0,0.21,1,2,15490
35,88000,2,18.0,4,2,9800,12.69,0,0.11,1,10,25507
25,31200,2,9.0,5,1,6000,5.79,0,0.19,1,4,2286
38,85000,2,15.0,1,1,15000,6.03,0,0.18,1,15,31117
23,35352,2,,2,1,6500,5.42,0,0.18,1,2,3099
38,28800,1,23.0,1,1,13000,8.32,0,0.45,1,12,31438
25,90000,2,4.0,1,2,10000,10.0,0,0.11,1,2,13274
25,65000,3,6.0,3,4,7675,15.33,0,0.12,2,3,8473
26,64000,2,7.0,4,1,5000,6.62,0,0.08,1,2,9726
26,97188,3,7.0,1,4,16000,12.8,0,0.16,1,3,15815
30,50000,2,11.0,5,2,1400,10.36,0,0.03,1,8,21639
22,34992,3,1.0,5,2,5000,,0,0.14,1,2,16164
24,75000,3,0.0,1,1,12000,6.62,0,0.16,1,2,12883
23,28000,2,5.0,4,1,2500,5.99,0,0.09,1,2,1595
30,93000,2,14.0,4,2,22500,11.83,0,0.24,1,9,25829
25,85296,3,7.0,5,3,6500,12.98,0,0.08,2,4,7373
24,55845,3,1.0,4,4,14000,14.96,1,0.21,1,4,14021
27,68700,1,0.0,3,1,10000,6.92,0,0.15,1,6,23879
22,48000,3,7.0,3,2,5000,11.12,0,0.1,1,2,5065
38,65000,2,6.0,4,3,11500,13.92,0,0.18,1,16,30645
26,95000,2,10.0,4,3,15000,15.96,0,0.16,1,3,17015
27,41200,3,1.0,4,1,7100,7.88,0,0.17,1,10,21684
26,58000,2,10.0,1,2,5000,10.62,0,0.09,1,2,8494
27,123000,1,1.0,4,5,22350,14.07,1,0.18,2,6,27257
26,38000,2,5.0,4,2,5000,,0,0.13,1,2,3643
39,35000,1,2.0,3,1,6800,8.49,0,0.19,1,15,31226
21,30000,3,1.0,4,2,10000,11.14,1,0.33,1,2,10478
22,40000,3,4.0,2,3,10000,14.27,0,0.25,2,3,10733
29,40404,3,4.0,1,1,14000,8.49,1,0.35,1,10,18965
28,34000,3,1.0,1,3,5000,14.26,1,0.15,2,9,20641
26,98700,2,6.0,4,3,9600,13.06,0,0.1,1,3,13948
24,37000,3,2.0,4,1,2000,5.42,0,0.05,1,4,14497
25,34000,3,0.0,2,3,10000,13.79,1,0.29,2,2,17525
23,55000,3,5.0,1,2,20000,12.53,1,0.36,1,3,16902
29,25000,1,9.0,4,2,2500,9.62,0,0.1,1,5,18559
33,59450,2,1.0,2,2,3000,10.38,0,0.05,1,6,22773
25,84000,2,8.0,1,2,6000,10.62,0,0.07,1,4,12657
23,39270,3,6.0,1,3,2200,11.72,0,0.06,1,2,2040
25,75996,2,9.0,5,2,10000,11.99,0,0.13,1,3,11788
23,48152,2,7.0,4,1,9500,7.29,0,0.2,1,2,6267
49,69000,3,11.0,1,3,10000,13.48,0,0.14,1,16,30907
32,85000,3,9.0,2,2,7200,11.58,0,0.08,1,10,22433
26,34800,2,4.0,4,2,5975,11.49,0,0.17,1,4,2813
30,55000,2,0.0,2,4,12000,13.55,0,0.22,1,5,22400
27,54000,2,4.0,4,1,9000,6.62,0,0.17,1,10,22117
24,34500,1,8.0,2,2,2000,11.71,0,0.06,1,3,13523
23,75000,3,1.0,1,2,6000,12.42,0,0.08,1,3,6883
29,120000,2,3.0,4,3,6250,12.53,0,0.05,2,8,26943
22,60000,3,5.0,1,3,2100,13.43,0,0.04,1,2,1983
35,17000,3,0.0,4,1,4750,9.32,1,0.28,1,6,20313
23,55000,2,5.0,4,3,8000,13.85,0,0.15,2,2,17486
41,39000,3,2.0,3,4,8000,14.84,1,0.21,2,14,30448
25,74000,3,2.0,1,1,12000,7.88,0,0.16,1,3,12797
29,74000,3,0.0,4,3,16000,13.79,1,0.22,2,8,27581
23,95000,2,0.0,1,2,10000,9.91,0,0.11,1,3,13609
41,125000,2,,1,1,14975,6.03,0,0.12,1,16,31549
31,100000,2,0.0,4,1,15000,9.63,0,0.15,1,7,26264
29,99000,3,3.0,4,3,8000,12.99,0,0.08,2,8,23282
26,9600,3,4.0,1,4,2950,17.49,1,0.31,2,2,15929
38,200000,2,0.0,2,1,3000,7.68,0,0.01,1,15,31726
27,190000,1,11.0,4,2,23000,11.83,0,0.12,1,8,17936
36,84000,2,14.0,1,1,1000,7.51,0,0.01,1,16,31105
24,88128,2,0.0,2,2,1950,9.99,1,0.02,1,2,14181
22,76000,2,0.0,2,2,15000,10.99,0,0.2,1,3,11805
22,45000,2,5.0,5,3,5000,12.61,0,0.11,2,2,5418
24,69996,3,9.0,5,2,11000,11.86,0,0.16,1,3,3412
31,78504,3,2.0,2,3,10000,11.41,0,0.13,2,8,24623
24,47000,3,7.0,1,1,6000,8.9,0,0.13,1,3,6541
37,53000,3,3.0,4,3,15600,,0,0.29,1,15,31687
25,33600,3,0.0,3,2,15000,11.11,1,0.45,1,4,14543
23,40000,2,5.0,2,2,18000,9.91,0,0.45,1,2,4046
28,60675,2,6.0,5,4,14000,15.62,1,0.23,2,10,23751
29,68004,2,9.0,3,2,10000,10.99,0,0.15,1,9,23865
26,64000,2,5.0,5,4,7000,15.95,1,0.11,1,2,10857
23,46800,2,,3,1,5000,6.99,0,0.11,1,2,5797
38,32560,1,8.0,3,1,6000,8.94,0,0.18,1,16,31303
27,36000,3,0.0,3,4,7500,13.55,1,0.21,2,7,22540
24,10980,1,0.0,3,1,1500,7.29,0,0.14,1,3,24
27,129996,2,2.0,1,4,12800,14.84,1,0.1,2,7,27354
32,60000,2,15.0,5,1,6000,7.14,0,0.1,1,9,23033
23,45000,3,2.0,1,2,6000,11.86,0,0.13,1,3,6514
24,98000,2,0.0,5,4,13200,15.28,1,0.13,2,3,16604
23,87550,3,7.0,4,1,18000,7.51,1,0.17,1,3,1063
25,45000,1,5.0,1,2,10400,10.25,0,0.23,1,3,5492
25,71328,2,3.0,2,4,25000,14.96,0,0.35,2,3,11047
36,65000,2,3.0,1,3,4000,13.48,0,0.06,2,12,30641
26,74000,2,10.0,2,2,4475,9.99,0,0.06,1,2,16523
34,42000,2,18.0,4,1,2000,5.79,0,0.05,1,8,20526
22,60000,3,0.0,4,2,10000,11.14,0,0.17,1,4,11414
26,113050,2,4.0,4,2,9000,12.53,1,0.07,1,4,15564
42,52400,2,14.0,3,2,21000,10.38,0,0.4,1,15,31972
25,99996,2,3.0,1,1,8000,8.0,0,0.08,1,2,13989
28,80000,2,12.0,1,1,2500,,0,0.03,1,7,25005
23,58700,3,8.0,3,2,1200,11.71,0,0.02,1,4,1494
22,42996,3,3.0,2,3,4000,,0,0.09,1,4,3931
24,72000,2,8.0,3,1,12000,6.03,0,0.17,1,2,11083
26,51996,3,10.0,1,3,1500,13.85,0,0.03,2,4,1629
24,53000,2,1.0,2,4,6400,13.67,0,0.12,1,2,7481
23,60000,3,3.0,4,1,13000,7.66,1,0.22,1,4,13687
24,66000,3,8.0,3,2,9600,11.26,0,0.15,1,3,10255
23,16800,3,7.0,2,1,6625,6.03,1,0.39,1,3,7429
35,54000,1,,4,1,6000,6.62,0,0.11,1,5,28787
40,63000,3,4.0,2,3,7700,15.23,0,0.12,2,11,30387
25,35000,3,9.0,1,2,1000,11.99,0,0.03,1,3,1374
26,70000,3,6.0,1,5,15000,16.35,0,0.21,2,3,15454
24,120000,2,3.0,4,4,7000,15.62,0,0.06,1,2,14933
31,96000,2,1.0,4,2,22500,11.36,0,0.23,1,5,26000
40,28000,3,2.0,1,3,5000,12.99,0,0.18,2,13,29787
26,33280,3,11.0,5,4,5000,14.11,1,0.15,1,4,4798
24,50000,2,5.0,3,2,3500,10.99,0,0.07,1,2,6604
25,50000,3,7.0,2,5,8500,15.7,0,0.17,1,4,5371
39,310400,2,13.0,5,4,15000,15.65,1,0.05,2,11,31747
28,120000,3,12.0,4,1,9600,8.0,0,0.08,1,7,23738
24,55000,2,2.0,1,1,6000,8.0,0,0.11,1,2,8046
21,37200,3,5.0,4,3,4000,13.49,0,0.11,2,4,3876
26,47000,3,0.0,4,1,16500,,1,0.35,1,4,1196
24,35000,3,8.0,4,2,7000,12.69,0,0.2,1,2,7751
21,46002,2,4.0,1,4,4000,,0,0.09,2,3,5754
34,90000,2,4.0,5,1,9900,5.99,0,0.11,1,5,25616
25,87996,3,0.0,4,5,20000,16.35,1,0.23,1,3,820
22,81996,2,7.0,2,3,7000,14.72,0,0.09,1,4,12473
24,35020,3,0.0,4,1,5800,8.32,0,0.17,1,3,6063
24,20000,3,5.0,4,2,4800,11.14,0,0.24,1,4,4357
40,80000,3,0.0,4,1,6000,8.94,0,0.07,1,11,30144
27,69996,3,3.0,2,4,10800,14.91,0,0.15,2,10,19797
28,72000,2,12.0,3,5,16000,15.95,0,0.22,1,5,24274
27,48000,3,3.0,5,2,5000,11.71,0,0.1,1,7,20706
26,73000,3,3.0,3,2,20000,12.53,1,0.27,1,2,782
34,61476,2,12.0,4,1,9200,7.74,0,0.15,1,7,23197
27,50000,1,3.0,4,3,9000,12.53,0,0.18,1,8,21740
22,27000,3,5.0,5,2,2925,10.71,0,0.11,1,3,16872
28,60000,3,4.0,4,1,10000,6.54,0,0.17,1,9,27871
27,42000,3,1.0,1,2,3000,11.83,0,0.07,1,5,25370
27,183000,3,12.0,2,5,15000,19.03,0,0.08,2,6,17958
24,63000,3,3.0,1,3,11500,14.79,0,0.18,1,2,12121
33,74400,3,15.0,5,3,3600,15.27,0,0.05,1,9,19893
38,37500,2,0.0,2,3,12000,13.47,1,0.32,2,16,29606
29,21996,1,7.0,3,1,8300,5.42,0,0.38,1,7,18308
25,56000,3,1.0,4,2,6000,10.74,0,0.11,1,2,6689
22,27600,2,6.0,5,1,8400,7.51,0,0.3,1,3,1536
22,85000,2,0.0,1,2,12000,,0,0.14,1,3,12872
25,188000,2,9.0,4,4,25000,13.24,1,0.13,2,4,15858
32,76500,3,12.0,4,4,10000,13.24,1,0.11,2,9,20450
30,84300,3,4.0,3,2,12000,8.88,0,0.14,1,7,25449
22,18000,1,1.0,5,2,3000,9.96,1,0.17,1,3,485
25,100000,2,9.0,4,1,12000,8.94,0,0.12,1,4,14153
35,71004,3,0.0,1,2,2375,9.25,0,0.03,1,9,18995
32,65000,1,3.0,3,3,12000,13.35,0,0.18,2,9,23578
32,75000,3,3.0,1,4,12800,14.74,0,0.17,2,9,25866
24,36000,3,7.0,5,1,13000,7.29,1,0.36,1,3,2257
29,85000,2,14.0,1,2,7500,11.49,0,0.09,1,10,25320
22,59813,2,6.0,4,5,20000,17.74,1,0.28,1,3,11838
25,62000,1,7.0,1,3,3500,13.57,0,0.06,1,4,9472
30,55000,2,4.0,5,1,12000,5.79,0,0.22,1,10,22331
25,68000,3,2.0,5,1,9500,7.14,0,0.14,1,3,10120
42,42000,3,6.0,2,4,14500,15.57,1,0.35,1,14,31393
21,47664,3,5.0,5,1,4800,7.9,0,0.1,1,2,4461
22,62000,1,1.0,1,2,10000,11.58,0,0.16,1,2,9482
38,108000,2,7.0,1,1,4000,7.74,0,0.04,1,11,31418
38,81000,2,0.0,4,2,11000,10.36,0,0.14,1,14,31800
30,45000,3,14.0,3,1,1900,5.79,0,0.04,1,7,18801
24,34000,3,1.0,1,2,5750,10.75,0,0.17,1,3,6041
24,50000,3,0.0,1,2,7200,11.71,0,0.14,1,2,8064
34,140000,2,8.0,2,1,12000,7.29,0,0.09,1,8,27316
22,100580,3,6.0,5,4,25000,14.96,1,0.25,2,2,320
25,39000,3,9.0,4,4,7500,15.62,1,0.19,2,2,8286
22,30000,3,4.0,2,2,12000,10.62,1,0.4,1,3,12208
22,53000,2,6.0,3,1,5000,5.42,0,0.09,1,3,7434
31,89000,3,1.0,1,2,10000,10.99,0,0.11,1,9,24690
24,156000,2,8.0,2,2,15000,10.25,0,0.1,1,3,15712
25,39000,3,9.0,4,4,16000,14.11,1,0.41,2,2,1255
40,30000,3,2.0,1,2,10625,,1,0.35,1,13,31869
24,99996,3,0.0,4,3,20000,14.22,0,0.2,2,3,819
28,24000,3,8.0,2,2,8875,10.65,1,0.37,1,7,28607
23,83000,2,5.0,5,4,5000,14.61,1,0.06,1,2,13706
24,75000,2,6.0,4,2,12000,11.86,0,0.16,1,3,11629
39,73000,2,3.0,1,1,10000,7.51,0,0.14,1,14,30851
21,55438,3,4.0,1,3,19400,13.49,1,0.35,1,2,15907
34,135000,3,6.0,1,5,20000,17.74,0,0.15,2,5,28726
30,131004,2,14.0,1,1,5000,8.49,0,0.04,1,8,27198
26,55000,3,10.0,3,2,12000,12.42,0,0.22,1,3,2760
22,30000,3,6.0,4,2,9150,10.59,0,0.3,1,2,9984
27,123000,2,0.0,1,3,13225,16.11,0,0.11,2,7,26986
45,19200,3,0.0,1,1,2000,8.49,0,0.1,1,12,29334
33,30000,3,3.0,2,2,11975,9.99,1,0.4,1,5,27888
23,53000,3,6.0,4,3,8000,14.26,0,0.15,2,4,8998
21,28800,3,1.0,2,1,3175,6.03,0,0.11,1,4,2965
32,24000,3,2.0,4,1,2500,7.74,0,0.1,1,9,19139
26,108000,2,1.0,2,1,6000,7.49,0,0.06,1,4,14480
23,29120,1,0.0,4,1,6400,8.94,0,0.22,1,4,16465
27,24600,3,0.0,5,1,10000,,1,0.41,1,8,23787
22,90000,2,1.0,2,3,2500,13.22,0,0.03,1,2,13355
26,21000,1,4.0,1,3,8000,13.79,0,0.38,1,2,17674
27,54000,3,2.0,4,2,20000,10.99,1,0.37,1,8,18223
34,77000,3,3.0,5,4,35000,18.25,1,0.45,2,10,28310
38,100000,3,0.0,5,3,14000,13.23,0,0.14,2,14,31350
22,50000,3,6.0,2,3,10000,13.57,0,0.2,2,3,11185
27,51600,3,1.0,3,6,10400,18.25,1,0.2,2,6,19857
27,31200,3,3.0,3,2,7000,9.88,0,0.22,1,9,22217
26,65000,2,2.0,4,1,10000,6.62,0,0.15,1,3,9838
31,25200,3,0.0,3,1,1400,6.99,0,0.06,1,6,18711
21,20400,1,2.0,2,3,1275,15.23,0,0.06,2,3,671
30,45000,3,0.0,3,2,6000,12.69,0,0.13,1,8,21547
26,85000,3,3.0,4,3,21000,13.92,0,0.25,1,3,561
23,62000,2,7.0,1,1,11200,7.88,0,0.18,1,4,9466
22,70000,1,,1,1,1250,5.42,0,0.02,1,4,10744
23,75000,2,0.0,3,1,5400,8.94,0,0.07,1,3,11685
24,76000,2,9.0,5,2,20050,10.59,0,0.26,1,2,11806
36,62400,2,6.0,3,4,12000,16.89,0,0.19,2,14,30561
24,85000,1,8.0,1,1,22000,6.54,0,0.26,1,4,12835
33,125000,2,8.0,4,1,10975,6.99,0,0.09,1,9,27029
23,30996,1,2.0,1,2,5000,11.86,0,0.16,1,4,16272
37,45000,1,5.0,1,1,10800,6.03,0,0.24,1,14,29877
31,25000,3,0.0,3,1,2500,7.4,0,0.1,1,6,19142
30,62496,2,14.0,3,2,3200,,0,0.05,1,8,23313
22,50000,2,6.0,1,3,10000,,0,0.2,1,4,6506
28,30144,3,,2,4,15000,15.95,1,0.5,2,7,26626
37,33280,3,2.0,1,3,8400,13.92,0,0.25,2,17,31802
23,93000,3,0.0,5,4,25000,14.59,1,0.27,2,2,296
23,27252,3,3.0,1,3,5800,13.06,0,0.21,1,4,6061
22,54000,3,6.0,2,3,10000,13.79,1,0.19,1,4,11428
29,48000,2,8.0,4,1,4500,5.42,0,0.09,1,7,28597
26,50000,2,6.0,5,2,10800,10.99,0,0.22,1,4,6615
26,76800,2,2.0,1,1,12800,6.92,0,0.17,1,3,17389
23,32004,1,0.0,2,5,9250,17.19,0,0.29,1,4,2455
27,175000,2,11.0,1,2,21000,,0,0.12,1,6,27596
37,42000,2,9.0,2,3,4500,12.99,0,0.11,1,12,29782
25,60000,3,3.0,3,1,17000,6.91,0,0.28,1,2,1143
29,31100,2,9.0,5,5,3000,16.82,1,0.1,2,5,19859
38,30000,3,2.0,3,3,2200,,0,0.07,2,15,31903
29,66000,2,,3,1,3000,7.66,0,0.05,1,7,23709
28,95827,2,11.0,2,5,16000,14.5,0,0.17,1,7,25956
38,60000,3,0.0,4,3,6000,13.57,0,0.1,2,15,30105
29,54000,3,2.0,5,1,6000,7.9,0,0.11,1,7,21624
23,45000,2,4.0,5,2,10000,11.71,0,0.22,1,3,5260
27,39000,3,5.0,2,1,14125,8.49,1,0.36,1,5,26272
29,445000,2,3.0,3,2,25000,9.62,0,0.06,1,5,27752
22,107004,2,2.0,2,1,10000,7.29,0,0.09,1,3,14459
24,33600,1,8.0,1,1,2500,6.39,0,0.07,1,3,13673
26,60000,2,10.0,3,1,1200,7.4,0,0.02,1,4,9156
24,41000,3,4.0,4,3,11525,12.99,0,0.28,2,3,12132
23,84000,3,4.0,1,4,6500,,0,0.08,1,3,7370
22,40000,2,7.0,3,1,10850,7.66,0,0.27,1,4,4185
30,45000,3,4.0,1,4,10000,13.36,0,0.22,1,9,24091
25,36000,3,2.0,3,2,10000,,0,0.28,1,2,10627
25,39204,3,3.0,3,6,10500,,0,0.27,2,4,3516
24,67000,3,2.0,1,2,25000,10.99,1,0.37,1,3,193
24,68648,3,1.0,1,2,5000,10.99,0,0.07,1,2,5558
30,42312,3,1.0,2,1,5500,8.59,0,0.13,1,6,21214
24,56000,2,1.0,1,3,10000,14.35,1,0.18,1,4,9460
31,20800,3,3.0,4,4,9750,17.19,1,0.47,2,6,20513
34,44000,3,3.0,5,4,14000,15.65,1,0.32,2,7,26062
30,51372,3,,4,1,4500,6.39,0,0.09,1,7,20277
25,30000,2,,2,4,10625,16.49,0,0.35,1,4,1930
47,43200,2,8.0,4,4,13750,14.84,0,0.32,2,13,29845
35,32900,3,4.0,4,3,4800,13.23,1,0.15,2,9,20367
29,120000,3,5.0,5,3,2500,14.22,0,0.02,2,6,19209
25,13000,3,2.0,3,4,4000,15.65,1,0.31,2,3,3671
31,260000,2,14.0,1,1,18000,8.94,0,0.07,1,9,17801
22,40000,2,6.0,3,3,10000,,0,0.25,2,3,4371
32,95000,2,12.0,2,1,9000,5.42,0,0.09,1,7,25912
29,62050,3,3.0,4,5,15000,15.95,1,0.21,2,8,27436
26,96000,2,10.0,4,5,24000,19.42,0,0.25,1,4,13759
24,75000,2,8.0,2,1,5000,6.76,0,0.07,1,4,11669
28,80000,2,12.0,5,2,12000,12.18,0,0.15,1,5,25024
22,42000,2,,3,1,3200,7.9,1,0.08,1,3,5977
23,38492,2,7.0,4,2,6500,,0,0.17,1,4,3837
33,57000,2,3.0,2,5,10000,15.68,1,0.18,2,8,23377
34,33500,3,0.0,1,2,11200,12.21,1,0.33,1,9,24778
23,113000,3,1.0,3,4,12000,15.28,1,0.11,2,3,13181
27,88000,3,4.0,5,2,20000,10.38,0,0.23,1,7,18309
27,35000,3,4.0,5,3,14500,13.98,1,0.41,2,8,26393
29,60000,2,4.0,2,1,5000,7.66,0,0.08,1,10,22921
25,53000,2,2.0,1,2,10750,11.14,0,0.2,1,2,7474
31,83000,2,11.0,4,1,7500,,0,0.09,1,10,28190
22,60000,3,6.0,4,3,1500,13.57,0,0.03,2,2,1646
23,40000,3,1.0,3,1,6000,7.68,0,0.15,1,2,6446
22,33000,3,1.0,4,3,1400,14.27,0,0.04,2,3,17258
35,36000,3,9.0,4,4,12000,16.29,1,0.33,1,9,24989
29,110000,2,1.0,2,5,12800,16.82,0,0.12,1,6,26582
41,140000,2,2.0,2,5,15000,17.88,0,0.11,1,11,31819
44,62400,3,,3,5,10000,16.82,1,0.16,1,15,31930
22,65004,2,5.0,2,1,6500,,0,0.1,1,2,10149
22,101000,3,0.0,2,1,1475,5.79,0,0.01,1,3,1545
49,95000,2,2.0,4,1,3000,5.42,0,0.03,1,12,31274
27,65000,2,11.0,3,1,3000,7.51,0,0.05,1,8,23475
24,68069,2,,1,1,8100,,0,0.12,1,4,10525
51,45000,3,1.0,5,1,16000,7.9,1,0.36,1,19,32168
23,31500,3,7.0,2,2,1200,8.88,0,0.04,1,2,1467
25,45000,2,4.0,4,3,2700,,0,0.06,2,4,5539
23,140000,2,7.0,3,3,6000,13.49,0,0.04,2,3,15497
29,28800,3,1.0,3,1,1400,7.9,0,0.05,1,8,28774
33,135000,1,0.0,4,1,6275,6.91,0,0.05,1,7,28590
28,11029,2,12.0,4,3,2150,10.78,1,0.19,2,7,17746
23,120000,2,7.0,4,4,8000,,1,0.07,2,2,15384
31,85000,2,4.0,4,2,16000,11.89,0,0.19,1,10,25398
25,105000,2,2.0,5,2,9600,11.71,0,0.09,1,3,14325
21,159800,2,5.0,4,4,30000,15.62,1,0.16,1,2,15851
23,62400,2,7.0,4,3,7000,13.06,0,0.11,1,4,9544
23,61000,3,3.0,5,1,2500,7.49,0,0.04,1,3,2404
26,53826,2,10.0,1,3,8500,14.79,1,0.16,1,3,8640
40,45996,3,4.0,5,4,20000,14.61,1,0.43,2,13,31931
22,30000,3,4.0,5,4,7000,16.49,1,0.23,2,3,7706
25,85000,3,5.0,2,1,14400,8.49,0,0.17,1,2,14293
45,118560,2,1.0,1,3,20000,,0,0.17,1,15,31490
27,50400,2,,2,2,3600,8.88,0,0.07,1,10,21817
37,42000,3,0.0,4,1,12000,,0,0.29,1,14,31834
22,40000,3,0.0,3,1,3600,6.17,0,0.09,1,2,3339
24,105000,2,8.0,4,1,10000,7.51,0,0.1,1,3,14373
26,36000,3,1.0,1,1,7000,8.94,0,0.19,1,3,7778
37,26400,3,0.0,4,5,10000,19.03,1,0.38,2,12,30700
24,40000,2,5.0,4,1,15000,7.49,0,0.38,1,2,4168
29,42108,1,0.0,2,1,2500,8.0,0,0.06,1,5,20618
23,85000,2,1.0,1,3,21400,13.49,0,0.25,2,4,12773
29,41700,3,0.0,2,1,4500,,0,0.11,1,6,20263
21,59000,2,5.0,4,2,25000,9.99,1,0.42,1,4,10004
31,30000,1,2.0,1,1,10000,7.88,0,0.33,1,5,26432
29,30000,3,4.0,1,2,7000,12.18,0,0.23,1,9,22213
22,63500,2,3.0,2,3,7000,,0,0.11,1,2,9701
25,65000,1,9.0,4,3,7000,11.66,0,0.11,2,3,16860
28,56864,2,5.0,4,1,12300,7.88,0,0.22,1,8,28920
23,58000,3,4.0,2,3,1200,15.23,0,0.02,1,4,1493
44,108000,3,2.0,4,3,15000,13.57,0,0.14,1,12,29350
31,16656,2,,2,3,2400,14.72,1,0.14,2,5,28760
24,104000,2,9.0,3,2,14000,9.99,0,0.13,1,3,14308
25,70000,3,4.0,4,2,12000,10.37,0,0.17,1,3,12745
23,39000,2,7.0,1,3,16000,14.26,1,0.41,1,3,5525
22,29000,3,6.0,4,3,4800,12.99,0,0.17,2,4,4384
30,30000,3,7.0,5,2,7200,10.36,0,0.24,1,6,22369
25,69000,2,9.0,4,3,15900,13.22,0,0.23,2,3,10602
28,61000,3,3.0,1,2,5000,10.37,0,0.08,1,7,20992
25,56950,3,9.0,4,3,5000,13.92,1,0.07,1,4,5578
28,50000,3,5.0,3,1,10000,7.88,0,0.2,1,7,24276
29,115500,3,1.0,2,2,20000,10.46,0,0.17,1,9,18353
41,43439,3,,4,3,15000,12.73,1,0.35,1,15,31494
29,75000,2,3.0,4,2,4000,10.75,0,0.05,1,9,28430
25,100000,2,2.0,3,1,10000,7.51,0,0.1,1,4,14111
29,40000,2,5.0,5,3,4000,14.35,0,0.1,2,6,20285
35,24000,3,3.0,1,3,3500,12.99,0,0.15,1,6,19612
34,29152,3,,1,2,5000,10.36,0,0.17,1,7,20535
30,190000,3,3.0,5,2,15000,11.48,0,0.08,1,8,17938
40,150000,2,1.0,2,1,7500,8.07,0,0.05,1,15,31666
24,58000,2,3.0,2,4,11000,16.77,0,0.19,1,4,8451
38,67200,2,11.0,2,1,8000,7.9,0,0.12,1,11,30696
42,2039784,3,0.0,1,3,8450,12.29,0,0.0,2,15,29891
22,61200,3,6.0,3,1,11200,6.62,0,0.18,1,4,12001
33,35600,3,1.0,4,3,6000,13.49,1,0.17,2,6,27843
24,68298,3,3.0,1,1,11500,,0,0.17,1,2,12122
33,53004,3,0.0,2,3,20000,13.04,1,0.38,2,9,27935
23,67200,2,7.0,1,1,16000,6.03,0,0.24,1,2,10394
40,32000,3,2.0,5,4,8000,14.96,1,0.25,2,17,30431
27,80000,2,3.0,4,2,14500,10.75,0,0.18,1,6,24992
32,37400,3,0.0,5,2,4000,10.38,0,0.11,1,7,20061
29,75000,2,7.0,2,1,6125,,0,0.08,1,8,24551
22,75000,2,6.0,2,3,16000,13.61,0,0.21,1,2,11640
26,300000,2,10.0,1,1,20000,7.88,0,0.07,1,4,43
23,38400,3,7.0,5,3,3600,13.61,0,0.09,1,3,3322
24,203500,1,8.0,4,3,20000,13.04,0,0.1,1,3,159
25,12000,3,2.0,4,2,2000,11.89,1,0.17,1,4,1753
22,34000,3,2.0,4,3,2500,13.57,1,0.07,2,3,2361
22,33996,3,1.0,2,4,14900,15.37,1,0.44,2,2,1884
